t,ax,ay,az,gx,gy,gz
5470,0.20,-0.39,9.80,-0.05,0.01,0.02
5485,0.33,-0.43,9.82,-0.05,0.01,0.02
5500,0.49,-0.40,9.82,-0.06,0.01,0.03
5516,0.66,-0.47,9.82,-0.07,0.04,0.04
5531,0.79,-0.45,9.86,-0.08,0.05,0.03
5547,0.80,-0.42,9.80,-0.07,0.05,-0.00
5562,0.67,-0.39,9.80,-0.05,0.01,-0.05
5577,0.59,-0.36,9.87,-0.04,0.00,-0.11
5594,0.49,-0.42,9.80,-0.05,0.03,-0.15
5609,0.28,-0.44,9.82,-0.05,0.04,-0.17
5624,0.03,-0.47,9.68,-0.02,-0.01,-0.16
5640,-0.15,-0.43,9.78,0.01,-0.05,-0.15
5655,0.11,-0.45,9.85,-0.02,-0.00,-0.14
5670,0.68,-0.46,9.84,-0.07,0.06,-0.13
5686,0.92,-0.44,9.90,-0.07,0.05,-0.13
5702,0.94,-0.33,9.66,-0.03,0.02,-0.16
5718,0.61,-0.28,9.72,0.02,-0.03,-0.22
5733,0.11,-0.27,10.05,0.02,-0.04,-0.28
5748,0.07,-0.36,9.65,-0.02,0.01,-0.33
5764,-0.25,-0.64,10.05,-0.03,0.02,-0.31
5779,0.02,-0.61,9.56,-0.01,-0.00,-0.25
5794,-0.23,-0.47,10.03,-0.02,0.01,-0.19
5811,-0.15,-0.45,9.66,-0.03,-0.00,-0.15
5826,-0.38,-0.40,9.75,-0.00,-0.01,-0.08
5841,-0.54,-0.37,9.92,0.01,-0.04,-0.02
5857,-0.42,-0.39,9.76,0.01,-0.04,0.05
5872,-0.22,-0.38,9.75,-0.03,-0.01,0.12
5888,-0.17,-0.36,9.80,-0.04,0.00,0.19
5903,-0.18,-0.35,9.84,-0.03,-0.01,0.25
5918,-0.05,-0.34,9.74,-0.02,-0.01,0.32
5935,0.15,-0.31,9.90,-0.04,-0.01,0.37
5950,0.56,-0.29,9.72,-0.07,0.02,0.40
5965,0.71,-0.20,9.96,-0.08,0.03,0.39
5981,0.71,0.06,9.79,-0.07,0.02,0.32
5996,0.45,0.18,9.74,-0.03,0.02,0.10
6011,0.29,-0.37,9.95,0.01,-0.02,-0.01
6027,0.23,-0.40,9.76,0.01,-0.03,-0.03
6042,0.10,-0.31,9.75,-0.02,0.00,-0.03
6059,0.14,-0.30,9.88,-0.05,0.02,-0.04
6074,0.26,-0.33,9.68,-0.06,0.03,-0.04
6089,-0.04,-0.31,10.01,-0.04,0.02,-0.06
6105,-0.10,-0.27,9.73,-0.05,0.01,-0.08
6120,-0.14,-0.16,9.64,-0.04,0.03,-0.10
6135,-0.35,-0.17,9.91,-0.06,0.04,-0.13
6151,-0.48,-0.34,9.86,-0.04,0.01,-0.17
6167,-0.52,-0.35,9.73,0.02,-0.03,-0.17
6182,-0.47,-0.44,9.84,0.08,-0.07,-0.12
6198,-0.32,-0.41,9.77,0.04,-0.05,-0.05
6213,-0.02,-0.44,9.73,-0.06,0.00,0.02
6228,-0.03,-0.43,9.94,-0.09,0.02,0.10
6244,-0.13,-0.34,9.76,-0.07,0.00,0.14
6259,-0.39,-0.24,9.81,-0.04,-0.01,0.17
6276,-0.56,-0.23,9.83,-0.04,-0.01,0.17
6291,-0.50,-0.31,9.78,-0.03,-0.02,0.18
6306,-0.10,-0.28,9.70,-0.04,-0.01,0.20
6322,-0.08,-0.24,9.80,-0.07,0.01,0.22
6337,-0.49,0.24,9.75,-0.08,0.02,0.16
