t,ax,ay,az,gx,gy,gz
5714,-0.06,-0.25,9.81,-0.05,-0.00,-0.00
5731,-0.03,-0.25,9.79,-0.05,-0.00,0.00
5746,-0.05,-0.24,9.81,-0.05,-0.00,0.00
5762,-0.04,-0.23,9.80,-0.05,-0.00,-0.00
5777,-0.04,-0.26,9.80,-0.05,-0.00,0.00
5792,-0.03,-0.26,9.83,-0.05,-0.00,-0.00
5808,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
5823,-0.03,-0.26,9.80,-0.05,-0.00,-0.00
5838,-0.02,-0.24,9.80,-0.05,-0.00,0.00
5854,-0.01,-0.24,9.79,-0.05,-0.00,0.00
5870,-0.02,-0.23,9.78,-0.05,-0.00,0.00
5885,-0.04,-0.24,9.80,-0.05,-0.00,0.00
5901,-0.03,-0.26,9.80,-0.05,-0.00,0.00
5916,-0.03,-0.26,9.80,-0.05,-0.00,0.00
5932,-0.01,-0.26,9.78,-0.05,-0.00,0.00
5947,-0.01,-0.28,9.79,-0.05,-0.00,0.00
5962,-0.02,-0.27,9.78,-0.05,0.00,0.00
5978,-0.03,-0.25,9.80,-0.05,0.00,0.00
5993,-0.04,-0.26,9.81,-0.05,-0.00,0.00
6009,-0.02,-0.25,9.78,-0.05,-0.00,-0.00
6025,-0.03,-0.26,9.79,-0.05,-0.00,-0.00
6040,-0.03,-0.23,9.78,-0.05,-0.00,0.00
6055,-0.01,-0.24,9.81,-0.05,-0.00,0.00
6071,-0.02,-0.26,9.79,-0.05,-0.00,0.00
6086,-0.04,-0.25,9.76,-0.05,-0.00,0.00
6102,-0.02,-0.24,9.81,-0.05,-0.00,-0.00
6117,-0.02,-0.24,9.82,-0.05,-0.00,0.00
6132,-0.03,-0.27,9.83,-0.05,-0.00,0.00
6149,-0.04,-0.25,9.80,-0.05,-0.00,-0.00
6164,-0.03,-0.25,9.80,-0.05,-0.00,-0.00
6179,-0.01,-0.24,9.77,-0.05,-0.00,0.00
6195,-0.03,-0.23,9.78,-0.05,-0.00,0.00
6210,-0.04,-0.25,9.82,-0.05,-0.00,0.00
6225,-0.01,-0.24,9.80,-0.05,-0.00,0.00
6241,-0.04,-0.25,9.78,-0.05,-0.00,0.00
6256,-0.03,-0.24,9.79,-0.05,-0.00,0.00
6272,-0.03,-0.26,9.80,-0.05,0.00,0.00
6287,-0.03,-0.25,9.79,-0.05,-0.00,-0.00
6303,-0.02,-0.25,9.77,-0.05,0.00,0.00
6319,-0.02,-0.24,9.82,-0.05,0.00,-0.00
6334,-0.01,-0.25,9.83,-0.05,-0.00,0.00
6349,-0.04,-0.26,9.80,-0.05,-0.00,0.00
6365,-0.04,-0.23,9.80,-0.05,-0.00,0.00
6380,-0.03,-0.27,9.78,-0.05,-0.00,0.00
6395,-0.02,-0.28,9.81,-0.05,-0.00,0.00
6411,-0.02,-0.25,9.82,-0.05,-0.00,0.00
6426,-0.04,-0.25,9.81,-0.05,-0.00,-0.00
6441,-0.04,-0.25,9.79,-0.05,-0.00,-0.00
6458,-0.03,-0.25,9.82,-0.05,-0.00,-0.00
6473,-0.03,-0.25,9.79,-0.05,0.00,-0.00
6489,-0.02,-0.24,9.79,-0.05,-0.00,0.00
6504,-0.04,-0.24,9.80,-0.05,-0.00,0.00
6519,-0.04,-0.25,9.80,-0.05,-0.00,0.00
6535,-0.03,-0.25,9.82,-0.05,-0.00,0.00
6550,-0.05,-0.25,9.80,-0.05,0.00,-0.00
6565,-0.05,-0.24,9.80,-0.05,-0.00,-0.00
6581,-0.04,-0.25,9.78,-0.05,-0.00,-0.00
6597,-0.02,-0.24,9.82,-0.05,-0.00,0.00
6612,-0.02,-0.24,9.79,-0.05,-0.00,0.00
6628,-0.04,-0.26,9.80,-0.05,-0.00,0.00
6643,-0.02,-0.27,9.77,-0.05,-0.00,0.00
6659,-0.02,-0.26,9.81,-0.05,-0.00,0.00
6674,-0.04,-0.26,9.80,-0.05,-0.00,0.00
6689,-0.02,-0.24,9.81,-0.05,-0.00,0.00
6705,-0.05,-0.24,9.83,-0.05,-0.00,-0.00
6720,-0.04,-0.25,9.80,-0.05,-0.00,-0.00
6736,-0.05,-0.25,9.81,-0.05,-0.00,-0.00
6752,-0.04,-0.25,9.80,-0.05,-0.00,0.00
6767,-0.05,-0.23,9.81,-0.05,-0.00,0.00
6782,-0.02,-0.24,9.80,-0.05,-0.00,0.00
6798,-0.02,-0.24,9.81,-0.05,0.00,-0.00
6813,-0.03,-0.24,9.78,-0.05,-0.00,-0.00
6829,-0.02,-0.25,9.78,-0.05,-0.00,0.00
6844,-0.03,-0.26,9.76,-0.05,-0.00,-0.00
6859,-0.03,-0.25,9.79,-0.05,-0.00,-0.00
6876,-0.04,-0.26,9.79,-0.05,-0.00,0.00
6891,-0.04,-0.28,9.76,-0.05,-0.00,0.00
6906,-0.04,-0.28,9.79,-0.05,-0.00,-0.00
6922,-0.03,-0.26,9.79,-0.05,-0.00,-0.00
6937,-0.03,-0.27,9.79,-0.05,-0.00,0.00
6952,-0.02,-0.25,9.82,-0.05,-0.00,0.00
6968,-0.02,-0.24,9.79,-0.05,-0.00,-0.00
6983,-0.02,-0.25,9.80,-0.05,-0.00,-0.00
7000,-0.01,-0.25,9.80,-0.05,-0.00,0.00
7015,-0.02,-0.25,9.78,-0.05,-0.00,0.00
7030,-0.03,-0.24,9.81,-0.05,-0.00,0.00
7046,-0.06,-0.24,9.81,-0.05,-0.00,0.00
7061,-0.04,-0.25,9.80,-0.05,-0.00,0.00
7076,-0.05,-0.25,9.82,-0.05,-0.00,-0.00
7092,-0.03,-0.26,9.79,-0.05,-0.00,-0.00
7107,-0.01,-0.26,9.79,-0.05,-0.00,-0.00
7122,-0.01,-0.26,9.81,-0.05,-0.00,0.00
7139,-0.01,-0.26,9.80,-0.05,0.00,0.00
7154,-0.03,-0.25,9.82,-0.05,-0.00,0.00
7170,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
7185,-0.02,-0.25,9.79,-0.05,-0.00,0.00
7200,-0.04,-0.26,9.80,-0.05,-0.00,-0.00
7216,-0.04,-0.24,9.79,-0.05,-0.00,0.00
7231,-0.04,-0.25,9.80,-0.05,-0.00,-0.00
7246,-0.03,-0.25,9.78,-0.05,-0.00,0.00
